r,s,projected_gradient_norm,collision_value,sign_u,sign_v,sign_w,amp_r,amp_s
6,19,0.38572661584678897,0.0,1.0,1.0,1.0,1.0,2.8284271247461903
10,19,0.3857266158467889,0.0,-1.0,1.0,-1.0,1.0,2.8284271247461903
14,19,0.38572661584678886,0.0,-1.0,-1.0,1.0,1.0,2.8284271247461903
5,20,0.36778485624491375,0.0,1.0,-1.0,-1.0,1.0,2.0
16,25,0.36778485624491375,0.0,-1.0,1.0,-1.0,1.0,2.0
5,23,0.3677848562449137,0.0,-1.0,1.0,-1.0,1.0,2.0
12,22,0.3677848562449137,0.0,-1.0,-1.0,1.0,1.0,2.0
2,21,0.36778485624491364,0.0,-1.0,1.0,-1.0,1.0,2.0
8,22,0.36778485624491364,0.0,-1.0,-1.0,1.0,1.0,2.0
8,25,0.36778485624491364,0.0,-1.0,-1.0,1.0,1.0,2.0
13,21,0.36778485624491364,0.0,-1.0,-1.0,1.0,1.0,2.0
2,20,0.3677848562449136,0.0,-1.0,-1.0,1.0,1.0,2.0
12,24,0.3677848562449136,0.0,-1.0,1.0,-1.0,1.0,2.0
13,23,0.3677848562449136,0.0,1.0,-1.0,-1.0,1.0,2.0
16,24,0.3677848562449136,0.0,1.0,1.0,1.0,1.0,2.0
7,15,0.35779788103271065,0.0,-1.0,1.0,-1.0,1.0,1.0
7,17,0.35779788103271065,0.0,-1.0,-1.0,1.0,1.0,1.0
4,9,0.3577978810327106,0.0,-1.0,-1.0,1.0,1.0,1.0
0,17,0.35779788103271043,0.0,1.0,1.0,1.0,1.0,1.0
4,15,0.35779788103271043,0.0,-1.0,-1.0,1.0,1.0,1.0
0,9,0.3577978810327104,0.0,-1.0,1.0,-1.0,1.0,1.0
17,25,0.35059296470447826,0.0,-1.0,-1.0,1.0,1.0,2.0
4,20,0.3505929647044782,0.0,1.0,1.0,1.0,1.0,2.0
4,23,0.35059296470447815,0.0,1.0,-1.0,-1.0,1.0,2.0
7,21,0.35059296470447815,0.0,1.0,1.0,1.0,1.0,2.0
9,25,0.35059296470447815,0.0,-1.0,-1.0,1.0,1.0,2.0
0,23,0.3505929647044781,0.0,1.0,-1.0,-1.0,1.0,2.0
7,20,0.3505929647044781,0.0,-1.0,-1.0,1.0,1.0,2.0
9,24,0.3505929647044781,0.0,-1.0,1.0,-1.0,1.0,2.0
15,24,0.3505929647044781,0.0,-1.0,-1.0,1.0,1.0,2.0
17,22,0.3505929647044781,0.0,-1.0,1.0,-1.0,1.0,2.0
15,22,0.350592964704478,0.0,1.0,-1.0,-1.0,1.0,2.0
0,21,0.3505929647044779,0.0,-1.0,-1.0,1.0,1.0,2.0
7,22,0.3185110286353032,0.0,-1.0,1.0,-1.0,1.0,2.0
9,23,0.3185110286353031,0.0,-1.0,1.0,-1.0,1.0,2.0
17,21,0.31851102863530306,0.0,-1.0,-1.0,1.0,1.0,2.0
15,20,0.318511028635303,0.0,1.0,1.0,1.0,1.0,2.0
4,24,0.31851102863530295,0.0,-1.0,-1.0,1.0,1.0,2.0
0,25,0.3185110286353029,0.0,1.0,1.0,1.0,1.0,2.0
21,22,0.30277675197414217,-0.6380711874576983,-1.0,-1.0,1.0,2.0,2.0
21,25,0.30277675197414217,-0.6380711874576983,1.0,-1.0,-1.0,2.0,2.0
23,25,0.30277675197414217,-0.6380711874576983,-1.0,1.0,-1.0,2.0,2.0
23,24,0.30277675197414194,-0.6380711874576983,-1.0,-1.0,1.0,2.0,2.0
20,22,0.3027767519741419,-0.6380711874576983,-1.0,1.0,-1.0,2.0,2.0
20,24,0.3027767519741416,-0.6380711874576983,1.0,-1.0,-1.0,2.0,2.0
16,19,0.2844606728462395,0.0,1.0,-1.0,-1.0,1.0,2.8284271247461903
5,19,0.28446067284623944,0.0,-1.0,-1.0,1.0,1.0,2.8284271247461903
12,19,0.28446067284623944,0.0,-1.0,-1.0,1.0,1.0,2.8284271247461903
13,19,0.28446067284623944,0.0,1.0,-1.0,-1.0,1.0,2.8284271247461903
8,19,0.2844606728462394,0.0,1.0,-1.0,-1.0,1.0,2.8284271247461903
