generation,rank,basin_id,parent_id,roles,expansion_count,soft_nullity,susceptibility,death_distance,source
59,23,1796,970,deletion,11,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
59,23,1320,844,death,26,35.99999999999966,1.0014136727533087,1.8281057563953198,exact_hop
60,23,2137,2106,genericity,1,33.99999999999966,1.0111201435302841,2.412564986717278,off_manifold_hop
60,23,1796,970,deletion,12,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
60,23,1320,844,death,27,35.99999999999966,1.0014136727533087,1.8281057563953147,exact_hop
60,23,567,78,explore,16,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
61,23,2173,2137,genericity,1,33.999999999999545,1.0054189984088795,2.562267402380082,off_manifold_hop
61,23,1796,970,deletion,13,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
61,23,1320,844,death,28,35.99999999999977,1.0014136727533087,1.8281057563953163,exact_hop
62,23,2220,2173,genericity,1,33.99999999999966,1.0022563683162404,2.577793856728235,exact_hop
62,23,1796,970,deletion,14,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
62,23,1320,844,death,29,35.99999999999966,1.0014136727533087,1.8281057563953167,exact_hop
63,23,2254,2220,genericity,1,33.99999999999966,1.0083171611875141,2.2470523024750118,off_manifold_hop
63,23,1796,970,deletion,15,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
63,23,1320,844,death,30,35.99999999999966,1.0014136727533087,1.828105756395319,exact_hop
63,23,567,78,explore,17,35.99999999999977,1.003145672548604,2.6762674536886215,off_manifold_hop
64,23,2278,2254,genericity,1,33.99999999999966,1.0035682403987378,2.112130869679626,exact_hop
64,23,1796,970,deletion,16,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
64,23,1320,844,death,31,35.99999999999966,1.0014136727533087,1.8281057563953191,exact_hop
65,23,2316,2278,genericity,1,33.999999999999545,1.0054089031057543,2.1371542579943004,off_manifold_hop
65,23,1796,970,deletion,17,35.99999999999977,0.5982153646345381,2.265380518017222,off_manifold_hop
65,23,1320,844,death,32,35.99999999999966,1.0014136727533087,1.8281057563953174,exact_hop
66,23,2342,2316,genericity,1,33.999999999999545,1.000882652539965,2.0075470927523336,off_manifold_hop
